Plate #	Row	Column	ORF	Gene	Decription	GO Biological Process	GO Molecular Function	GO Cellular Component	96-position
3	J	20	YPR083W	MDM36	Protein required for normal mitochondrial morphology and inheritance	mitochondrion organization	molecular_function	cellular_component	12-E10
3	J	21	YDR136C	VPS61	"Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 4% of ORF overlaps the verified gene RGP1; deletion causes a vacuolar protein sorting defect"	transport	molecular_function	cellular_component	11-E11
3	J	22	YEL020C	YEL020C	Hypothetical protein with low sequence identity to Pdc1p	biological_process	molecular_function	cytoplasm	12-E11
3	J	23	YDR137W	RGP1	Subunit of a Golgi membrane exchange factor (Ric1p-Rgp1p) that catalyzes nucleotide exchange on Ypt6p	transport, vesicle-mediated transport	enzyme regulator activity	membrane, endomembrane system, cytoplasm, Golgi apparatus	11-E12
3	J	24	YEL023C	YEL023C	"Putative protein of unknown function; expression is increased greatly during sporulation; YEL023C is not an essential gene"	biological_process	molecular_function	cellular_component	12-E12
3	K	1	YPL149W	ATG5	"Conserved protein involved in autophagy and the Cvt pathway; undergoes conjugation with Atg12p to form a complex involved in Atg8p lipidation; conjugated Atg12p also forms a complex with Atg16p that is essential for autophagosome formation"	transport, response to stress, protein modification process, cellular membrane organization	ligase activity	vacuole, cytoplasm	9-F1
3	K	2	YBR238C	YBR238C	"Mitochondrial membrane protein with similarity to Rmd9p; not required for respiratory growth but causes a synthetic respiratory defect in combination with rmd9 mutations; transcriptionally up-regulated by TOR; deletion increases life span"	generation of precursor metabolites and energy, cellular respiration	molecular_function	membrane, mitochondrial envelope, mitochondrion, cytoplasm	10-F1
3	K	3	YPL147W	PXA1	"Subunit of a heterodimeric peroxisomal ATP-binding cassette transporter complex (Pxa1p-Pxa2p), required for import of long-chain fatty acids into peroxisomes; similarity to human adrenoleukodystrophy transporter and ALD-related proteins"	transport	transporter activity, hydrolase activity	peroxisome, membrane, cytoplasm	9-F2
3	K	4	YBR239C	ERT1	"Transcriptional regulator of nonfermentable carbon utilization; GFP-fusion protein localizes to cytoplasm, nucleus; null mutation affects periodicity of transcriptional and metabolic oscillation; plays role in restricting Ty1 transposition"	biological_process	DNA binding	nucleus, cytoplasm	10-F2
3	K	5	YPL145C	KES1	"Member of the oxysterol binding protein family, which includes seven yeast homologs; involved in negative regulation of Sec14p-dependent Golgi complex secretory functions, peripheral membrane protein that localizes to the Golgi complex"	transport, vesicle-mediated transport, cellular component morphogenesis, cellular membrane organization	lipid binding	membrane, endomembrane system, cytoplasm, Golgi apparatus	9-F3
3	K	6	YBR240C	THI2	Zinc finger protein of the Zn(II)2Cys6 type, probable transcriptional activator of thiamine biosynthetic genes	transcription, vitamin metabolic process, heterocycle metabolic process, cellular aromatic compound metabolic process, RNA metabolic process	transcription regulator activity	nucleus	10-F3
3	K	7	YPL144W	POC4	"Component of a heterodimeric Poc4p-Irc25p chaperone involved in assembly of alpha subunits into the 20S proteasome; may regulate formation of proteasome isoforms with alternative subunits under different conditions"	protein complex biogenesis	molecular_function	cytoplasm	9-F4
3	K	8	YBR241C	YBR241C	"Putative transporter, member of the sugar porter family; green fluorescent protein (GFP)-fusion protein localizes to the vacuolar membrane; YBR241C is not an essential gene"	transport	transporter activity	membrane, vacuole, cytoplasm	10-F4
3	K	9	YPL141C	YPL141C	"Putative protein kinase; similar to Kin4p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YPL141C is not an essential gene"	biological_process	transferase activity, protein kinase activity	cytoplasm	9-F5
3	K	10	YBR242W	YBR242W	"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YBR242W is not an essential gene"	biological_process	molecular_function	nucleus, cytoplasm	10-F5
3	K	11	YPL140C	MKK2	"Mitogen-activated kinase kinase involved in protein kinase C signaling pathway that controls cell integrity; upon activation by Bck1p phosphorylates downstream target, Slt2p; functionally redundant with Mkk1p"	signal transduction, protein modification process	transferase activity, protein kinase activity	other	9-F6
3	K	12	YBR244W	GPX2	Phospholipid hydroperoxide glutathione peroxidase induced by glucose starvation that protects cells from phospholipid hydroperoxides and nonphospholipid peroxides during oxidative stress	response to stress, response to chemical stimulus	oxidoreductase activity	nucleus, cytoplasm	10-F6
3	K	13	YPL139C	UME1	"Negative regulator of meiosis, required for repression of a subset of meiotic genes during vegetative growth, binding of histone deacetylase Rpd3p required for activity, contains a NEE box and a WD repeat motif; homologous with Wtm1p, Wtm2p"	protein modification process, meiosis, chromosome organization, cell cycle	transcription regulator activity, hydrolase activity, protein binding	nucleus, chromosome	9-F7
3	K	14	YBR245C	ISW1	"Member of the imitation-switch (ISWI) class of ATP-dependent chromatin remodeling complexes; ATPase that forms a complex with Ioc2p and Ioc4p to regulate transcription elongation, and a complex with Ioc3p to repress transcription initiation"	chromosome organization, transcription, RNA metabolic process	DNA binding, hydrolase activity	nucleus	10-F7
3	K	15	YPL138C	SPP1	"Subunit of COMPASS (Set1C), a complex which methylates histone H3 on lysine 4 and is required in telomeric transcriptional silencing; interacts with Orc2p; PHD finger domain protein similar to human CGBP, an unmethylated CpG binding protein"	chromosome organization, transcription, protein modification process, RNA metabolic process	transferase activity, protein binding	nucleus	9-F8
3	K	16	YBR246W	RRT2	"Putative protein of unknown function; non-essential gene identified in a screen for mutants with increased levels of rDNA transcription; null mutants display a weak carboxypeptidase Y missorting/secretion phenotype"	biological_process	molecular_function	cellular_component	10-F8
3	K	17	YPL136W	YPL136W	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; completely overlaps the verified gene GIP3/YPL137C"	biological_process	molecular_function	cellular_component	9-F9
3	K	18	YBR248C	HIS7	Imidazole glycerol phosphate synthase (glutamine amidotransferase:cyclase), catalyzes the fifth and sixth steps of histidine biosynthesis and also produces 5-aminoimidazole-4-carboxamide ribotide (AICAR), a purine precursor	cellular amino acid and derivative metabolic process, heterocycle metabolic process	transferase activity	other	10-F9
3	K	19	YPL135W	ISU1	"Conserved protein of the mitochondrial matrix, performs a scaffolding function during assembly of iron-sulfur clusters, interacts physically and functionally with yeast frataxin (Yfh1p); isu1 isu2 double mutant is inviable"	cofactor metabolic process, cellular homeostasis, RNA metabolic process	other	mitochondrion, cytoplasm	9-F10
3	K	20	YBR249C	ARO4	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase, catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by tyrosine or high concentrations of phenylalanine or tryptophan	cellular amino acid and derivative metabolic process, cellular aromatic compound metabolic process	transferase activity	nucleus, cytoplasm	10-F10
3	K	21	YPL133C	RDS2	Zinc cluster transcriptional activator involved in conferring resistance to ketoconazole	cellular carbohydrate metabolic process, response to chemical stimulus	transcription regulator activity, DNA binding	nucleus, cytoplasm	9-F11
3	K	22	YBR250W	SPO23	"Protein of unknown function; associates with meiosis-specific protein Spo1p"	meiosis, cell cycle	molecular_function	cellular_component	10-F11
3	K	23	YPL130W	SPO19	"Meiosis-specific prospore protein; required to produce bending force necessary for proper assembly of the prospore membrane during sporulation; identified as a weak high-copy suppressor of the spo1-1 ts mutation"	meiosis, sporulation resulting in formation of a cellular spore, cell cycle, cellular membrane organization	molecular_function	cell wall, membrane	9-F12
3	K	24	YBR251W	MRPS5	Mitochondrial ribosomal protein of the small subunit	mitochondrion organization, translation	structural molecule activity	ribosome, mitochondrion, cytoplasm	10-F12
3	L	1	YPR021C	AGC1	"Mitochondrial amino acid transporter, acts both as a glutamate uniporter and as an aspartate-glutamate exchanger; involved in nitrogen metabolism and nitrogen compound biosynthesis"	transport	transporter activity	membrane, mitochondrial envelope, mitochondrion, cytoplasm	11-F1
3	L	2	YEL024W	RIP1	"Ubiquinol-cytochrome-c reductase, a Rieske iron-sulfur protein of the mitochondrial cytochrome bc1 complex; transfers electrons from ubiquinol to cytochrome c1 during respiration"	generation of precursor metabolites and energy, cellular respiration	oxidoreductase activity, transporter activity	mitochondrion, membrane, mitochondrial envelope, cytoplasm	12-F1
3	L	3	YDR139C	RUB1	"Ubiquitin-like protein with similarity to mammalian NEDD8; conjugation (neddylation) substrates include the cullins Cdc53p, Rtt101p, and Cul3p; activated by Ula1p and Uba3p (E1 enzyme pair); conjugation mediated by Ubc12p (E2 enzyme)"	protein modification process	other	cytoplasm	11-F2
3	L	4	YEL025C	YEL025C	"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus"	biological_process	molecular_function	nucleus, cytoplasm	12-F2
3	L	5	YDR140W	MTQ2	"S-adenosylmethionine-dependent methyltransferase of the seven beta-strand family; subunit of complex with Trm112p that methylates translation release factor Sup45p (eRF1) in the ternary complex eRF1-eRF3-GTP; similar to E.coli PrmC"	translation, protein modification process	transferase activity	nucleus, cytoplasm	11-F3
3	L	6	YEL027W	CUP5	"Proteolipid subunit of the vacuolar H(+)-ATPase V0 sector (subunit c; dicyclohexylcarbodiimide binding subunit); required for vacuolar acidification and important for copper and iron metal ion homeostasis"	vacuole organization, transport, vesicle-mediated transport, cellular homeostasis, cellular membrane organization	transporter activity	vacuole, membrane, cytoplasm	12-F3
3	L	7	YDR142C	PEX7	"Peroxisomal signal receptor for the N-terminal nonapeptide signal (PTS2) of peroxisomal matrix proteins; WD repeat protein; defects in human homolog cause lethal rhizomelic chondrodysplasia punctata (RCDP)"	transport, peroxisome organization, protein complex biogenesis	other	peroxisome, cytoplasm	11-F4
3	L	8	YEL028W	YEL028W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	biological_process	molecular_function	cellular_component	12-F4
3	L	9	YDR143C	SAN1	Ubiquitin-protein ligase, involved in the proteasome-dependent degradation of aberrant nuclear proteins	response to stress, response to chemical stimulus, protein modification process, cellular protein catabolic process	ligase activity	nucleus, cytoplasm	11-F5
3	L	10	YEL030W	ECM10	"Heat shock protein of the Hsp70 family, localized in mitochondrial nucleoids, plays a role in protein translocation, interacts with Mge1p in an ATP-dependent manner; overexpression induces extensive mitochondrial DNA aggregations"	transport, protein folding, mitochondrion organization	molecular_function	mitochondrion, cytoplasm	12-F5
3	L	11	YDR144C	MKC7	"GPI-anchored aspartyl protease (yapsin) involved in protein processing; shares functions with Yap3p and Kex2p"	other	peptidase activity, hydrolase activity	cell wall	11-F6
3	L	12	YEL031W	SPF1	"P-type ATPase, ion transporter of the ER membrane involved in ER function and Ca2+ homeostasis; required for regulating Hmg2p degradation; confers sensitivity to a killer toxin (SMKT) produced by Pichia farinosa KK1"	transport, protein modification process, cellular carbohydrate metabolic process, cellular homeostasis	hydrolase activity, transporter activity	endomembrane system, mitochondrion, membrane, endoplasmic reticulum, cytoplasm	12-F6
3	L	13	YDR146C	SWI5	"Transcription factor that activates transcription of genes expressed at the M/G1 phase boundary and in G1 phase; localization to the nucleus occurs during G1 and appears to be regulated by phosphorylation by Cdc28p kinase"	transcription, cell cycle, RNA metabolic process	transcription regulator activity, DNA binding	nucleus, cytoplasm	11-F7
3	L	14	YEL033W	MTC7	"Predicted metabolic role based on network analysis derived from ChIP experiments, a large-scale deletion study and localization of transcription factor binding sites; null mutant is sensitive to temperature oscillation in a cdc13-1 mutant"	biological_process	molecular_function	cellular_component	12-F7
3	L	15	YDR338C	YDR338C	Putative protein of unknown function	biological_process	molecular_function	cellular_component	11-F8
3	L	16	YPR091C	YPR091C	"Putative protein of unknown function; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YPR091C is not an essential gene"	biological_process	molecular_function	ribosome, endoplasmic reticulum, cytoplasm	12-F8
3	L	17	YDR340W	YDR340W	Putative protein of unknown function	biological_process	molecular_function	cellular_component	11-F9
3	L	18	YEL037C	RAD23	"Protein with ubiquitin-like N terminus, subunit of Nuclear Excision Repair Factor 2 (NEF2) with Rad4p that recognizes and binds damaged DNA; enhances protein deglycosylation activity of Png1p; homolog of human HR23A and HR23B"	response to chemical stimulus, protein modification process, response to stress, chromosome organization, DNA metabolic process, cellular protein catabolic process	hydrolase activity, DNA binding, protein binding	nucleus, mitochondrion, cytoplasm	12-F9
3	L	19	YDR344C	YDR344C	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data	biological_process	molecular_function	cellular_component	11-F10
3	L	20	YEL038W	UTR4	"Protein with sequence similarity to 2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatases, involved in methionine salvage; found in both the cytoplasm and nucleus"	cellular amino acid and derivative metabolic process	hydrolase activity	nucleus, cytoplasm	12-F10
3	L	21	YDR345C	HXT3	Low affinity glucose transporter of the major facilitator superfamily, expression is induced in low or high glucose conditions	transport	transporter activity	membrane, membrane fraction, plasma membrane	11-F11
3	L	22	YEL039C	CYC7	"Cytochrome c isoform 2, expressed under hypoxic conditions; electron carrier of the mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration"	generation of precursor metabolites and energy, cellular respiration	other	mitochondrial envelope, mitochondrion, cytoplasm	12-F11
3	L	23	YDR346C	SVF1	"Protein with a potential role in cell survival pathways, required for the diauxic growth shift; expression in mammalian cells increases survival under conditions inducing apoptosis"	response to stress, response to chemical stimulus	molecular_function	nucleus, cytoplasm	11-F12
3	L	24	YEL040W	UTR2	"Chitin transglycosylase that functions in the transfer of chitin to beta(1-6) and beta(1-3) glucans in the cell wall; similar to and functionally redundant with Crh1; glycosylphosphatidylinositol (GPI)-anchored protein localized to bud neck"	fungal-type cell wall organization	transferase activity	cell cortex, membrane fraction, cytoskeleton, cell wall, cellular bud, site of polarized growth, cytoplasm	12-F12
3	M	1	YPL129W	TAF14	"Subunit of TFIID, TFIIF, INO80, SWI/SNF, and NuA3 complexes, involved in RNA polymerase II transcription initiation and in chromatin modification; contains a YEATS domain"	transcription, protein modification process, protein complex biogenesis, chromosome organization, RNA metabolic process	transcription regulator activity, transferase activity	nucleus, chromosome	9-G1
3	M	2	YBR255W	MTC4	"Protein of unknown function, required for normal growth rate at 15 degrees C; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; mtc4 is synthetically sick with cdc13-1"	biological_process	molecular_function	cytoplasm	10-G1
3	M	3	YPL127C	HHO1	"Histone H1, a linker histone required for nucleosome packaging at restricted sites; suppresses DNA repair involving homologous recombination; not required for telomeric silencing, basal transcriptional repression, or efficient sporulation"	transcription, DNA metabolic process, RNA metabolic process	DNA binding	nucleus, chromosome	9-G2
3	M	4	YBR258C	SHG1	Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres	chromosome organization, protein modification process	transferase activity	nucleus	10-G2
3	M	5	YPL125W	KAP120	Karyopherin responsible for the nuclear import of ribosome maturation factor Rfp1p	transport	structural molecule activity	nucleus, membrane, endomembrane system, cytoplasm	9-G3
3	M	6	YBR259W	YBR259W	"Putative protein of unknown function; YBR259W is not an essential gene"	biological_process	molecular_function	cellular_component	10-G3
3	M	7	YPL123C	RNY1	"Vacuolar RNase of the T(2) family, relocalizes to the cytosol where it cleaves tRNAs upon oxidative or stationary phase stress; promotes apoptosis under stress conditions and this function is independent of its catalytic activity"	cellular component morphogenesis, RNA metabolic process	hydrolase activity	extracellular region, vacuole, cytoplasm	9-G4
3	M	8	YBR260C	RGD1	GTPase-activating protein (RhoGAP) for Rho3p and Rho4p, possibly involved in control of actin cytoskeleton organization	response to chemical stimulus, response to stress	lipid binding, enzyme regulator activity	cell cortex, cytoskeleton, cellular bud, site of polarized growth, cytoplasm	10-G4
3	M	9	YPL121C	MEI5	"Meiosis specific protein involved in DMC1-dependent meiotic recombination, forms heterodimer with Sae3p; proposed to be an assembly factor for Dmc1p"	response to stress, meiosis, cell cycle, DNA metabolic process	molecular_function	nucleus, chromosome	9-G5
3	M	10	YBR261C	TAE1	"Putative S-adenosylmethionine-dependent methyltransferase of the seven beta-strand family; has a role in protein synthesis; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YBR261C is not an essential gene"	translation	transferase activity	cytoplasm	10-G5
3	M	11	YPL120W	VPS30	"Subunit of phosphatidylinositol (PtdIns) 3-kinase complexes I and II; Complex I is essential in autophagy and Complex II is required for vacuolar protein sorting; ortholog of the higher eukaryotic gene Beclin 1"	transport, response to chemical stimulus, response to stress, vesicle-mediated transport, cellular lipid metabolic process, cellular membrane organization, cellular protein catabolic process	transferase activity	membrane fraction, cytoplasm	9-G6
3	M	12	YBR262C	AIM5	"Protein of unknown function; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss"	biological_process	molecular_function	mitochondrion, cytoplasm	10-G6
3	M	13	YPL119C	DBP1	"Putative ATP-dependent RNA helicase of the DEAD-box protein family; mutants show reduced stability of the 40S ribosomal subunit scanning through 5' untranslated regions of mRNAs"	translation	helicase activity, hydrolase activity	cytoplasm	9-G7
3	M	14	YBR263W	SHM1	"Mitochondrial serine hydroxymethyltransferase, converts serine to glycine plus 5,10 methylenetetrahydrofolate; involved in generating precursors for purine, pyrimidine, amino acid, and lipid biosynthesis; reverse reaction generates serine"	cellular amino acid and derivative metabolic process	transferase activity	mitochondrion, cytoplasm	10-G7
3	M	15	YPL118W	MRP51	"Mitochondrial ribosomal protein of the small subunit; MRP51 exhibits genetic interactions with mutations in the COX2 and COX3 mRNA 5'-untranslated leader sequences"	mitochondrion organization, translation	structural molecule activity	ribosome, mitochondrion, cytoplasm	9-G8
3	M	16	YBR264C	YPT10	"GTP binding protein that contains the PEST signal sequence specific for proteolytic enzymes; may be involved in vesicular transport; overexpression leads to accumulation of Golgi-like cisternae with budding vesicles"	other	hydrolase activity	cytoplasm	10-G8
3	M	17	YPL116W	HOS3	"Trichostatin A-insensitive homodimeric histone deacetylase (HDAC) with specificity in vitro for histones H3, H4, H2A, and H2B; similar to Hda1p, Rpd3p, Hos1p, and Hos2p; deletion results in increased histone acetylation at rDNA repeats"	transcription, protein modification process, chromosome organization, cell cycle, RNA metabolic process	hydrolase activity	nucleus, cellular bud, site of polarized growth, cytoplasm	9-G9
3	M	18	YBR266C	SLM6	"Protein with a potential role in actin cytoskeleton organization; gene exhibits synthetic genetic interaction with MSS4 encoding phosphatidylinositol 4-phosphate kinase"	transport, vesicle-mediated transport, cellular membrane organization	molecular_function	cellular_component	10-G9
3	M	19	YPL115C	BEM3	"Rho GTPase activating protein (RhoGAP) involved in control of the cytoskeleton organization; targets the essential Rho-GTPase Cdc42p, which controls establishment and maintenance of cell polarity, including bud-site assembly"	cell budding, signal transduction, cellular component morphogenesis, pseudohyphal growth	lipid binding, enzyme regulator activity	cell cortex, cellular bud, site of polarized growth, cytoplasm	9-G10
3	M	20	YBR267W	REI1	"Cytoplasmic pre-60S factor; required for the correct recycling of shuttling factors Alb1, Arx1 and Tif6 at the end of the ribosomal large subunit biogenesis; involved in bud growth in the mitotic signaling network"	transport, cell budding, ribosome biogenesis, cell cycle	DNA binding	ribosome, cytoplasm	10-G10
3	M	21	YPL114W	YPL114W	"Dubious open reading frame, unlikely to encode a functional protein; largely overlaps ORF YPL113C; diploid deletion in BY4743 strain background exhibits high budding index"	biological_process	molecular_function	cellular_component	9-G11
3	M	22	YBR268W	MRPL37	Mitochondrial ribosomal protein of the large subunit	mitochondrion organization, translation	structural molecule activity	ribosome, mitochondrion, cytoplasm	10-G11
3	M	23	YPL113C	YPL113C	"Glyoxylate reductase; acts on glyoxylate and hydroxypyruvate substrates; YPL113C is not an essential gene"	other	oxidoreductase activity	cellular_component	9-G12
3	M	24	YDR049W	YDR049W	"Zinc finger protein; putative transcription factor that may interact with proteins involved in histone acetylation or deacetylation; may be involved in altering acetylation on histone lysines"	biological_process	molecular_function	mitochondrion, cytoplasm	10-G12
3	N	1	YDR347W	MRP1	"Mitochondrial ribosomal protein of the small subunit; MRP1 exhibits genetic interactions with PET122, encoding a COX3-specific translational activator, and with PET123, encoding a small subunit mitochondrial ribosomal protein"	mitochondrion organization, translation	structural molecule activity	ribosome, mitochondrion, cytoplasm	11-G1
3	N	2	YEL041W	YEF1	"ATP-NADH kinase; phosphorylates both NAD and NADH; homooctameric structure consisting of 60-kDa subunits; sequence similarity to Utr1p and Pos5p; overexpression complements certain pos5 phenotypes"	cofactor metabolic process, vitamin metabolic process	transferase activity	cellular_component	12-G1
3	N	3	YDR348C	YDR348C	"Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery and bud neck; potential Cdc28p substrate"	biological_process	molecular_function	cellular bud, site of polarized growth	11-G2
3	N	4	YEL042W	GDA1	Guanosine diphosphatase located in the Golgi, involved in the transport of GDP-mannose into the Golgi lumen by converting GDP to GMP after mannose is transferred its substrate	cellular carbohydrate metabolic process, protein modification process	hydrolase activity	cytoplasm, Golgi apparatus	12-G2
3	N	5	YDR349C	YPS7	Putative GPI-anchored aspartic protease, located in the cytoplasm and endoplasmic reticulum	biological_process	peptidase activity, hydrolase activity	endoplasmic reticulum, cytoplasm	11-G3
3	N	6	YEL043W	YEL043W	"Predicted cytoskeleton protein involved in intracellular signalling based on quantitative analysis of protein-protein interaction maps; may interact with ribosomes, based on co-purification studies; contains fibronectin type III domain fold"	biological_process	molecular_function	ribosome, endoplasmic reticulum, cytoplasm	12-G3
3	N	7	YDR350C	ATP22	Mitochondrial inner membrane protein required for assembly of the F0 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis	protein complex biogenesis	molecular_function	membrane, mitochondrial envelope, mitochondrion, cytoplasm	11-G4
3	N	8	YEL045C	YEL045C	"Dubious open reading frame unlikely to encode a protein based on available experimental and comparative sequence data; deletion gives MMS sensitivity, growth defect under alkaline conditions, less than optimal growth upon citric acid stress"	biological_process	molecular_function	cellular_component	12-G4
3	N	9	YDR351W	SBE2	"Protein involved in the transport of cell wall components from the Golgi to the cell surface; required for bud growth"	fungal-type cell wall organization	molecular_function	cytoplasm, Golgi apparatus	11-G5
3	N	10	YEL046C	GLY1	"Threonine aldolase, catalyzes the cleavage of L-allo-threonine and L-threonine to glycine; involved in glycine biosynthesis"	cellular amino acid and derivative metabolic process	lyase activity	cytoplasm	12-G5
3	N	11	YDR352W	YDR352W	Putative protein of unknown function	biological_process	molecular_function	membrane, vacuole, cytoplasm	11-G6
3	N	12	YEL047C	YEL047C	"Soluble fumarate reductase, required with isoenzyme Osm1p for anaerobic growth; may interact with ribosomes, based on co-purification experiments; authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies"	other	oxidoreductase activity	membrane fraction, ribosome, mitochondrion, cytoplasm	12-G6
3	N	13	YDR354W	TRP4	Anthranilate phosphoribosyl transferase of the tryptophan biosynthetic pathway, catalyzes the phosphoribosylation of anthranilate, subject to the general control system of amino acid biosynthesis	cellular amino acid and derivative metabolic process, heterocycle metabolic process, cellular aromatic compound metabolic process	transferase activity	nucleus, cytoplasm	11-G7
3	N	14	YEL048C	TCA17	"Protein that interacts with subunits of the TRAPP complex and may play a role its assembly or stability; mutation is synthetically lethal with gcs1 deletion; Sedlin_N family member; human Sedlin mutations cause the skeletal disorder SEDT"	biological_process	molecular_function	cytoplasmic membrane-bounded vesicle, cytoplasm, Golgi apparatus	12-G7
3	N	15	YDR357C	YDR357C	"Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern"	biological_process	molecular_function	cytoplasm	11-G8
3	N	16	YEL049W	PAU2	Member of the seripauperin multigene family encoded mainly in subtelomeric regions, active during alcoholic fermentation, regulated by anaerobiosis, negatively regulated by oxygen, repressed by heme	biological_process	molecular_function	cellular_component	12-G8
3	N	17	YDR358W	GGA1	Golgi-localized protein with homology to gamma-adaptin, interacts with and regulates Arf1p and Arf2p in a GTP-dependent manner in order to facilitate traffic through the late Golgi	transport, vesicle-mediated transport, cellular protein catabolic process	protein binding	cytoplasm, Golgi apparatus	11-G9
3	N	18	YEL050C	RML2	"Mitochondrial ribosomal protein of the large subunit, has similarity to E. coli L2 ribosomal protein; fat21 mutant allele causes inability to utilize oleate and may interfere with activity of the Adr1p transcription factor"	cellular lipid metabolic process, translation	structural molecule activity	ribosome, mitochondrion, cytoplasm	12-G9
3	N	19	YDR359C	EAF1	"Component of the NuA4 histone acetyltransferase complex; acts as a platform for assembly of NuA4 subunits into the native complex; required for initiation of pre-meiotic DNA replication, likely due to its requirement for expression of IME1"	response to stress, chromosome organization, DNA metabolic process, protein complex biogenesis	molecular_function	nucleus	11-G10
3	N	20	YEL051W	VMA8	"Subunit D of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; plays a role in the coupling of proton transport and ATP hydrolysis"	cellular homeostasis	transporter activity, hydrolase activity	membrane, vacuole, cytoplasm	12-G10
3	N	21	YDR360W	OPI7	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified gene VID21/YDR359C."	biological_process	molecular_function	cellular_component	11-G11
3	N	22	YEL052W	AFG1	"Conserved protein that may act as a chaperone in the degradation of misfolded or unassembled cytochrome c oxidase subunits; localized to matrix face of the mitochondrial inner membrane; member of the AAA family but lacks a protease domain"	transport, peroxisome organization, response to chemical stimulus, response to stress, cellular protein catabolic process	molecular_function	mitochondrion, membrane, mitochondrial envelope, cytoplasm	12-G11
3	N	23	YDR363W	ESC2	"Protein involved in silencing; may recruit or stabilize Sir proteins; role in Rad51-dependent homologous recombination repair and intra S-phase DNA damage checkpoint; member of the RENi (Rad60-Esc2-Nip45) family of SUMO-like domain proteins"	transcription, signal transduction, response to stress, cell cycle, DNA metabolic process, RNA metabolic process	molecular_function	nucleus	11-G12
3	N	24	YEL053C	MAK10	"Non-catalytic subunit of N-terminal acetyltransferase of the NatC type, required for replication of dsRNA virus; expression is glucose-repressible"	protein modification process	transferase activity	cytoplasm	12-G12
3	O	1	YPL112C	PEX25	Peripheral peroxisomal membrane peroxin required for the regulation of peroxisome size and maintenance, recruits GTPase Rho1p to peroxisomes, induced by oleate, interacts with homologous protein Pex27p	transport, peroxisome organization	molecular_function	peroxisome, membrane, cytoplasm	9-H1
3	O	2	YDR050C	TPI1	"Triose phosphate isomerase, abundant glycolytic enzyme; mRNA half-life is regulated by iron availability; transcription is controlled by activators Reb1p, Gcr1p, and Rap1p through binding sites in the 5' non-coding region"	cellular carbohydrate metabolic process, generation of precursor metabolites and energy	isomerase activity	membrane fraction, mitochondrion, cytoplasm	10-H1
3	O	3	Blank	Blank	Blank	Blank	Blank	Blank	9-H2
3	O	4	Blank	Blank	Blank	Blank	Blank	Blank	10-H2
3	O	5	YPL111W	CAR1	"Arginase, responsible for arginine degradation, expression responds to both induction by arginine and nitrogen catabolite repression; disruption enhances freeze tolerance"	cellular amino acid and derivative metabolic process	hydrolase activity	site of polarized growth, cytoplasm	9-H3
3	O	6	YDR051C	DET1	"Acid phosphatase involved in the non-vesicular transport of sterols in both directions between the endoplasmic reticulum and plasma membrane; deletion confers sensitivity to nickel"	transport	hydrolase activity	nucleus, cytoplasm	10-H3
3	O	7	YPL110C	GDE1	"Glycerophosphocholine (GroPCho) phosphodiesterase; hydrolyzes GroPCho to choline and glycerolphosphate, for use as a phosphate source and as a precursor for phosphocholine synthesis; may interact with ribosomes"	cellular lipid metabolic process	hydrolase activity	ribosome, cytoplasm	9-H4
3	O	8	YDR055W	PST1	"Cell wall protein that contains a putative GPI-attachment site; secreted by regenerating protoplasts; up-regulated by activation of the cell integrity pathway, as mediated by Rlm1p; upregulated by cell wall damage via disruption of FKS1"	fungal-type cell wall organization	molecular_function	cell wall, membrane, plasma membrane	10-H4
3	O	9	YPL109C	YPL109C	"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	biological_process	molecular_function	mitochondrion, cytoplasm	9-H5
